# Table format: 1D
# axis1_title = X
# axis2_title = Y
     0.00000000000000e+00      5.00000000000000e+00
     1.00000000000000e+00      5.00000000000000e+00
     9.00000000000000e+00      4.00000000000000e+01
     1.50000000000000e+01      4.00000000000000e+01
     1.90000000000000e+01      1.00000000000000e+01
     3.00000000000000e+01      1.00000000000000e+01
     9.00000000000000e+01      4.00000000000000e+01
     9.30000000000000e+01      3.00000000000000e+01
     1.15000000000000e+02      3.00000000000000e+01
     1.20000000000000e+02      5.00000000000000e+00
     1.30000000000000e+02      4.00000000000000e+01
     1.85000000000000e+02      4.00000000000000e+01
